tipo_servico_Serviço,mix_receita,parcerias,investimento_externo,branding_reputacao,network_time,uso_tecnologia,roadmap_produto,eficiencia_operacional,escala_tecnologica,financas_unidade,experiencia_lideranca,treinamento,governanca_financeira,headcount,ticket_medio,clientes_ativos,nps,rotatividade_time,churn,faturamento_acumulado,anos_empresa,faturamento_mensal,canais_vendas
1.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.6313209097056524,-0.4031938426145799,1.203818210192477,-0.30727567328172567,1.0193399168419892,1.079286442137475,-0.5606807315357027,-0.15785067907957104,-0.6807354908026397,-0.7167590724639361
1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.4257962271633224,0.23249534461389282,-0.13056158316872601,1.0564866258891863,0.11854465628879982,1.277256749165555,-0.5690953238104166,0.7375230459807602,-0.6707406924400742,-0.7167590724639361
1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.6157794552510263,2.4647893910511938,0.812659060787218,-1.485070386202059,-0.05468520150989062,-1.3393942654664626,-0.6890813066795548,1.7362091239326685,1.696493060992846,-1.4192521320259965
0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.45860888417137624,-0.07473072387517832,-0.6701392750788175,-0.5242378572407345,-0.39421572279532346,-0.3237205163658765,1.8840097806086262,-0.2956004829350068,0.12401697108762443,-0.7167590724639361
0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,-0.04225598987802451,-0.48535507789605353,0.30845214302547436,-0.30727567328172567,1.1717821917048366,-1.0381351025976444,-0.6834461340597083,0.9097103008000548,-0.7016648316886828,-1.4192521320259965
0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,-0.2840528256260111,-0.18511744081041673,1.6331223121106604,-1.3920865930767694,1.6914717651009072,0.13247193026404752,-0.5993347738524999,-1.535348717633927,-0.6519640213179801,1.3907201062222452
1.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.2858968586371001,-0.29495966812588825,1.730912099461975,0.8705190396386074,-1.73847941931316,0.8296717071890258,-0.4734581882555868,-0.6399749925735957,-0.4471089002872826,-0.014266012901875725
1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.132185783755053,-0.45365542010467436,1.5055101073401504,-0.05931889161428714,-0.5050828317864854,-0.3237205163658765,1.1012347887149112,1.2885222614025025,-0.7028741148724917,1.3907201062222452
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0631009735413426,-0.33065062056270345,0.7946269014174719,1.4284217983903442,-1.3019401776604604,-1.313572051506278,-0.6612057865075177,0.7719604969446193,-0.5805889953290391,-0.014266012901875725
0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.6848642654647368,-0.49787442899184087,0.6455148143214955,1.6453839823493528,-1.0594183767422942,1.71623438648869,2.2803406438974894,0.42758598730603037,-0.724020179702621,1.3907201062222452
1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,-1.3375961813850954,0.0011068070072440758,-0.5182530096182647,-0.09031348932271696,-1.454382452523308,1.1825752979782127,1.6525631181686882,1.7362091239326685,-0.445549944857553,-0.014266012901875725
0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,-1.5103082069193716,-0.4568822786950698,-1.408764264647259,0.43659467172058997,-0.6921710782090708,1.5613011027275836,2.3164324375990835,0.32427363441445367,-0.7249999904750445,-0.014266012901875725
0.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.6848642654647368,-0.49244517342957,-0.266496323032965,0.8395244419301776,-1.27422340041267,0.41651628382607575,-0.6646420792474628,0.08321147766744132,-0.16751133669104332,0.6882270466601846
1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.7867617326865008,0.27450804637033466,-0.4974466718839425,-0.6792108457828835,0.08389868472906173,-0.039676162803848274,1.3786817890576295,-0.020100875224135322,0.7809800939975976,-1.4192521320259965
1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,-1.4412233967056611,3.644571316923274,0.9479002560603129,-0.8031892366166028,-1.5306035899547317,-0.41840196755321934,2.2179737419663703,-0.9154746002844669,-0.6969843229802656,-1.4192521320259965
0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.3912538220564674,-0.41070916792295914,-1.1348141511453487,1.3354380052650547,0.5828006751892898,-0.9520610560636966,-0.735791378022599,-0.9154746002844669,-0.7268867636353248,0.6882270466601846
0.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.44306742971675,-0.4533025282685239,1.2010440318279008,-0.05931889161428714,-1.683045864817579,-0.977883270023881,-0.22959322370161198,1.0474601046554906,-0.7133005399136156,1.3907201062222452
1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,-0.7503752945685566,-0.37438770237169217,1.465978065644938,-0.8341838343250326,0.9985523339061464,-0.005246544190269065,-0.5657848978602683,-1.0187869531760436,-0.19960105009272083,-0.7167590724639361
0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.1667281888619083,-0.40631805953518085,0.05808254562246278,1.3664326029734846,1.6637549878531168,0.7263828513482882,1.6037443622371095,-1.3287240118507737,-0.6596422410513214,1.3907201062222452
0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.7176769224727905,-0.4931157656722272,-1.118862625549035,0.40560007401216014,-1.2603650117887748,-0.8659870095297486,0.18344631731296734,-1.6730985214893628,-0.6524593903330345,-0.014266012901875725
0.0,0.0,3.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0803721760947702,-0.1663868023824959,0.17321094775237947,-1.6710379724526376,0.8114640874835607,-0.7713055583424059,1.9394976281352694,-0.9154746002844669,-0.607908960751205,-0.7167590724639361
0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.1304560356562516,-0.4936367943388981,-1.7035207158834915,-0.3692648686985853,0.2779161254635946,1.1223234654044492,-0.5510825108882152,-1.4664738157062092,-0.5568713825237016,0.6882270466601846
1.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,-1.3203249788316678,-0.3328246688829214,-0.46346298691788274,0.5295784648458794,-0.2487026422444237,-1.3393942654664626,1.2275091207606388,0.9097103008000548,-0.6255328061875293,-0.014266012901875725
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0803721760947702,-0.26234210054463286,-0.9551861020390329,-1.6400433747442078,-0.1309063389413144,-0.5044760140871674,-0.2812571974924158,0.1520863795951592,-0.7273730266023082,-0.7167590724639361
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0631009735413426,4.242397458474137,0.1607271451117861,0.9635028327638969,1.448949964182741,-0.2720760884455077,-0.6609620004638437,0.014336575739723459,1.188883696121736,-0.014266012901875725
0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,-0.23223921796572825,-0.4736060280935808,-1.3331679042125546,-0.8961730297418923,0.7491013386760322,0.5886643768939718,-0.7086509125099186,1.2885222614025025,0.02367742739492168,1.3907201062222452
0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,-0.024984787324596896,-0.31411358124924715,-0.4995273056573747,0.7155460510964583,-0.9485512677511324,-0.6766241071550632,-0.627477183370303,-1.1220993060676203,-0.7018797344231549,-0.7167590724639361
0.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.47588008672480386,-0.4747262886039089,0.2758555472417028,-1.454075788493629,-1.2603650117887748,0.9846049909501322,-0.6489822914367201,0.11764892863130011,-0.6337610312243498,-1.4192521320259965
0.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0631009735413426,-0.26333137073350904,-0.3400120496942371,0.9944974304723266,-0.17248150481299993,0.20133116749120594,-0.6747868316092369,-0.4333502867904422,-0.5958707652015405,-0.7167590724639361
0.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.4776098348236053,-0.4965586605390472,-1.136894784918781,-0.4622486618238748,0.45807517757423266,1.0620716328306854,-0.6173228200348586,-0.7777247964290313,-0.648922601262316,1.3907201062222452
1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.4066809915988059,0.4691625966671139,0.06987280367191208,0.3436108785953005,1.0747734713375698,1.0534642281772906,1.060727491917508,-0.571100090645878,-0.17915068733520456,1.3907201062222452
0.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,-0.9576297252096879,-0.44814209612714323,0.6212407536314528,1.459416396098774,0.7075261728043465,1.6129455306479523,0.08738814718081425,-0.7777247964290313,-0.5470459566552538,0.6882270466601846
1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.045829770987915,-0.4545625769577149,-1.0335566408383137,0.40560007401216014,-0.7891797985763372,0.4767681163998394,0.009162214561711941,-1.604223619561645,-0.6661712775181213,1.3907201062222452
1.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,-1.354867383938523,0.13882064660061758,-0.5217207325739851,1.4904109938072039,0.970835556658356,0.6575236141211303,-0.5747526756002713,0.6686481440530427,0.05559776830248137,-0.7167590724639361
0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.16499844076310685,-0.40279207379281295,-0.2928510174964399,0.7465406488048881,1.5182419073022169,0.6833458280813146,-0.6573111242540688,0.25539873248673584,-0.40954098836618136,1.3907201062222452
1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,-0.12861200264516257,0.12200989616770934,1.5512840503556593,-0.1523026847395766,0.09775707335295696,0.864101325802605,-0.7334102592957965,-0.571100090645878,-0.7185947962620082,-0.014266012901875725
0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,-1.3203249788316678,-0.4984355367867173,1.1413991969895103,0.777535246513318,1.1163486372092555,0.7522050653084725,1.3943125591209447,1.219647359474785,1.3525794798721889,-1.4192521320259965
0.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.719406670571592,-0.45069542985574457,1.3889946160279456,0.9015136373470373,1.3935164096871602,0.3046200233319433,-0.6046359651373054,1.4262720652579384,-0.47709329537497946,0.6882270466601846
1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,-0.4567648511602872,0.12941866964744483,1.7135734846833732,-0.4622486618238748,-0.12397714462936679,-0.7885203676491955,-0.6806434262763323,0.25539873248673584,-0.6437212266042462,-1.4192521320259965
1.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,-0.07679839498487973,-0.48230222137445256,-0.5085433853422476,1.7073731777662124,-0.047756007197943,-1.1930683863587508,1.314665865836397,1.3918346142940796,1.8604510989277392,-0.7167590724639361
0.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.5776632690342804,-0.49670529149589643,1.5256229004833286,-1.26810820224305,1.4073747983110554,0.22715338145139036,-0.6956156598168192,1.3573971633302206,0.597032459337573,0.6882270466601846
0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,-0.38768004094657676,-0.43190613904508407,-0.2644156892595328,-0.772194638908173,-0.6575251066493327,0.2615830000649696,-0.7083004816237882,1.4951469671856565,-0.5894983527615593,-0.7167590724639361
1.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.2530842016290464,0.0453492768475065,0.20233982058043068,0.06465949921943213,0.13240304491269506,-1.4082535026936207,2.5056566140943137,-1.156536757031479,2.536225495942476,-0.014266012901875725
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,-0.8885449149959775,-0.4577004794342885,-1.3317808150302664,0.25062708547001106,-1.1425687084856655,0.8899235397627894,-0.7173741649005806,-1.156536757031479,-0.7197858673496754,0.6882270466601846
1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,-1.5966642196865095,0.37566385580205774,-1.627924355448787,-0.4622486618238748,0.8738268362910893,1.544086293420794,-0.6613651068787436,-1.3631614628146327,-0.7286952247821957,1.3907201062222452
0.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,-1.3894097890453783,-0.49772291033643007,-0.9343797643047106,0.6535568556795986,1.6706841821650644,-0.2634686837921129,-0.5933868749355371,1.7362091239326685,1.9495392096240993,0.6882270466601846
1.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.061371225442541165,-0.473124101015403,-1.481586446717387,-0.028324293905857324,-1.2672942061007224,1.6559825539149264,0.10843229816389328,0.9785852027277726,-0.7284457190650544,1.3907201062222452
1.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,-1.268511371171385,0.9526351651301118,-1.0432662651143307,-0.431254064115445,1.6498965992292216,0.5370199489736031,0.9639549676846725,-1.6730985214893628,0.1526409225935362,0.6882270466601846
1.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.7004057199193628,-0.43661885799821837,-0.18812578423368437,0.31261628088687066,0.13933223922464266,-0.7282685350754319,-0.703464313603489,-1.3975989137784914,-0.6927973620772885,1.3907201062222452
1.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.4394936486068596,4.189497896941497,0.31538758893691515,0.5295784648458794,1.448949964182741,0.3906940698658914,-0.7134238698956943,-1.3975989137784914,-0.6135474257166756,1.3907201062222452
0.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.24951042051915587,-0.4338876120419733,0.33896810503581376,0.21963248776158123,-0.9970556279347658,1.458012246886846,-0.7104420653145016,-0.22672558100728893,1.990647553035147,-1.4192521320259965
0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.5466946450373158,-0.48503444487040986,-0.5855268349592402,1.118475821306046,1.3380828551915793,0.20133116749120594,0.2113985404479497,-1.0876618551037616,-0.3947855480721751,0.6882270466601846
1.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.4931512892782315,0.4533469816613559,-1.6792466551934488,-0.4622486618238748,-0.366498945547533,0.8554939211492102,-0.709489654789064,-0.46778773775430116,-0.17089696536378557,-0.014266012901875725
0.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.2012705939687636,-0.4281983309162231,-1.1153949025933145,0.6225622579711688,1.2549325234482078,-1.2016757910121456,-0.7197430850838785,0.25539873248673584,-0.6021011232916165,-0.014266012901875725
0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,-1.3894097890453783,-0.49824296146338864,-0.4870435030167813,0.6225622579711688,-0.38035733417142825,0.3046200233319433,-0.5951308970038526,0.875272849836196,-0.600212528921722,0.6882270466601846
0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.9422025556673495,-0.43805975153419013,0.6822726776521316,-0.586227052657594,1.4212331869349506,-1.4685053352673842,2.7049336842222003,1.1852099085109262,0.17487242835371086,0.6882270466601846
1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,-0.5085784588205701,0.24448682426502297,1.1601249009504002,-0.586227052657594,0.769888921611875,1.406367818966477,-0.459450748610459,0.18652383055901797,1.529628372513737,0.6882270466601846
0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.3895240739576658,-0.4037842766008261,1.0165611705835764,-0.8651784320334625,1.2064281632645746,-0.10853540003100669,-0.6354528129052701,1.1852099085109262,0.14267162116556897,-0.014266012901875725
1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,-0.9230873201028328,-0.4681318057045428,-0.5453012486728838,0.777535246513318,0.9639063623464084,-0.8229499862627747,-0.5655978535265321,-1.2942865608869147,-0.07507037909499638,0.6882270466601846
0.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.6658633148125076,-0.48804428964466845,1.3778979025696403,-0.772194638908173,-0.9277636848152896,0.19272376283781115,-0.6302061454134016,0.39314853634217123,2.8332793536905356,-0.014266012901875725
1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.5639658475907434,-0.3092053543536472,0.9756420397060759,0.09565409692786195,-1.1425687084856655,-1.4254683120004104,-0.7234024633088233,-0.3644753848627245,-0.7299172564333039,0.6882270466601846
0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.4584945992590888,-0.4225070947110483,-0.7006552370891569,0.033664901511002314,0.6174466467490278,1.2083975119383972,-0.6303342301201992,-1.4664738157062092,-0.44477410956191654,0.6882270466601846
1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,0.00955761778225833,-0.3665556541965186,-0.6916391574042838,-0.7412000411997431,1.5598170731739027,-1.4512905259605946,0.9010221272655096,0.6342106930891837,-0.71561711854284,0.6882270466601846
0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,-0.2840528256260111,-0.4848017904188758,0.2786297256062791,-1.3300973976599098,0.7629597272999274,-0.1171428046844015,-0.5818507493085786,-0.15785067907957104,2.1978684253546517,-0.7167590724639361
0.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,-0.5085784588205701,-0.4934569270318297,0.9291745520994228,-1.485070386202059,-0.615949940777647,-0.1171428046844015,-0.7197789414087252,1.3918346142940796,-0.6322202878907619,-0.7167590724639361
1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,-1.4239521941522335,-0.4662158278683795,0.8702232618521764,0.25062708547001106,-0.5397288033462234,-1.7009052609090436,-0.11571704769049675,0.22096128152287675,-0.4946515772651936,1.3907201062222452
1.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.9230873201028328,1.7972226338036983,-0.13402930612444638,-1.3920865930767694,1.1925697746406794,0.04639788373009951,0.43234576863239843,-0.46778773775430116,-0.7324104923951027,-0.014266012901875725
1.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0631009735413426,0.45130099104345295,-0.28868974994957547,0.5605730625543093,0.9916231395941988,-1.3049646468528833,-0.7368472913414085,1.7017716729688097,-0.7183288996583393,-0.7167590724639361
0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.7366778731250196,-0.4787674377746738,1.366107644520191,0.9325082350554671,-1.0871351539900846,-0.7368759397288267,-0.7122480042324235,-1.604223619561645,-0.7123826502680739,-0.7167590724639361
1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,-0.42222244605343195,0.016217615880413615,-0.74712272469581,-1.29910279995148,-0.38035733417142825,0.2787978093717592,-0.7242702233353961,-0.8465996983567491,-0.7232753049704254,-1.4192521320259965
1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.6812904843548462,-0.3200922141298465,0.0192440485183945,1.0564866258891863,0.7421721443640846,-0.5819426559677203,1.3897052062045638,0.39314853634217123,-0.5596614756526102,-0.7167590724639361
0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.7867617326865008,-0.4965889642701293,1.6171707865143468,0.6225622579711688,0.9639063623464084,-1.2102831956655404,0.3204792102504475,0.9785852027277726,-0.7108510129825568,-0.014266012901875725
1.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,0.4931512892782315,-0.4049240879054008,0.985351663982093,0.43659467172058997,0.4719335661981279,-1.0897795305180131,2.169037621260165,1.564021869113374,-0.5732786599377602,-1.4192521320259965
0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,-1.0612569405302537,-0.4620925653617791,0.0025989783309366653,-0.12130808703114677,1.4766667414305317,0.5111977350134186,-0.11704428618907385,-0.7088498945013135,-0.6031282855140084,-0.7167590724639361
0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,-1.2339689660645297,-0.14326212294765978,-0.47455970037618794,-0.9581622251587519,-0.366498945547533,0.32183483263873297,-0.3931529584482109,0.4620234382698891,-0.7051123814883068,0.6882270466601846
1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,-0.42222244605343195,-0.35066672371233587,-1.3900385606863688,0.31261628088687066,1.6013922390455884,-0.21182425587174433,-0.03484643387432722,1.0818975556193493,-0.6811980780446389,-1.4192521320259965
