clientes_ativos,faturamento_mensal,faturamento_acumulado,anos_empresa,tipo_servico,ticket_medio,mix_receita,canais_vendas,churn,parcerias,investimento_externo,branding_reputacao,network_time,uso_tecnologia,roadmap_produto,nps,eficiencia_operacional,escala_tecnologica,financas_unidade,headcount,experiencia_lideranca,treinamento,rotatividade_time,governanca_financeira,score_total
4364,99383,915341,2.2,Produto,211.42,3–5 clientes >50%,3,0.239,Poucas,Não,Não reconhecida,"Sim, forte",Alto,Claro e executado,66,Quase nada,Não,Não,4,Experiência forte,Nunca,0.032,DRE e auditoria,52.52
899,73941,5596118,1.9,Produto,259.6,1–2 clientes >50%,5,0.357,Algumas,Série A+,Reconhecimento forte,Não,Médio,Não existe,64,Parcialmente,Sim,Não,87,Experiência forte,Regularmente,0.285,Controles básicos,59.36
1004,54757,7340240,8.6,Serviço,383.56,1–2 clientes >50%,2,0.278,Poucas,Aceleradora/Anjo,Não reconhecida,"Sim, forte",Médio,Parcial,43,Quase tudo,Sim,Não,101,Experiência forte,Nunca,0.027,Controles básicos,53.3
3976,69013,899470,2.2,Produto,4900.34,1–2 clientes >50%,2,0.313,Muitas,Não,Algum reconhecimento,Ocasionalmente,Alto,Parcial,-9,Quase nada,Não,Algumas,65,Sem experiência,Regularmente,0.449,DRE e auditoria,50.47
1484,70461,789364,5.8,Serviço,456.31,1–2 clientes >50%,4,0.307,Poucas,Não,Algum reconhecimento,Não,Alto,Não existe,27,Quase nada,Não,"Sim, regularmente",5,Experiência parcial,Nunca,0.166,Controles básicos,43.21
1665,1044202,10627799,3.8,Produto,689.85,3–5 clientes >50%,4,0.035,Poucas,Aceleradora/Anjo,Reconhecimento forte,Não,Alto,Não existe,95,Quase nada,Não,Não,143,Experiência forte,Nunca,0.027,Controles básicos,68.06
3254,207310,13205589,3.3,Serviço,5437.13,3–5 clientes >50%,3,0.316,Poucas,Série A+,Algum reconhecimento,Não,Alto,Parcial,71,Quase tudo,Não,"Sim, regularmente",74,Experiência forte,Às vezes,0.001,DRE e auditoria,62.06
1131,35257,8990000,9.3,Serviço,977.53,1–2 clientes >50%,2,0.137,Poucas,Série A+,Algum reconhecimento,"Sim, forte",Alto,Claro e executado,23,Parcialmente,Parcialmente,Algumas,190,Experiência forte,Regularmente,0.067,DRE e auditoria,59.35
2292,19871,879365,1.6,Serviço,48457.11,1–2 clientes >50%,5,0.287,Muitas,Não,Não reconhecida,Ocasionalmente,Médio,Claro e executado,12,Quase tudo,Sim,Algumas,1,Experiência forte,Regularmente,0.384,DRE e auditoria,61.64
1646,1790063,24479,0.8,Serviço,21702.79,1–2 clientes >50%,4,0.106,Algumas,Série A+,Reconhecimento forte,Não,Médio,Não existe,47,Quase nada,Não,Não,47,Experiência parcial,Às vezes,0.31,Não existem controles,39.56
4887,13374,17430773,2.8,Produto,1882.21,3–5 clientes >50%,2,0.16,Muitas,Série A+,Reconhecimento forte,Não,Baixo,Parcial,30,Quase tudo,Parcialmente,"Sim, regularmente",121,Experiência parcial,Nunca,0.39,Controles básicos,62.1
4076,261852,8151281,2.6,Serviço,9175.24,1–2 clientes >50%,2,0.098,Nenhuma,Série A+,Não reconhecida,Não,Médio,Parcial,67,Parcialmente,Não,Não,196,Experiência parcial,Nunca,0.438,Controles básicos,49.17
134,1950746,4246524,4.1,Serviço,8382.04,Receita diversificada,2,0.187,Muitas,Aceleradora/Anjo,Reconhecimento forte,Não,Médio,Claro e executado,-9,Quase nada,Parcialmente,Algumas,146,Experiência parcial,Nunca,0.239,DRE e auditoria,61.3
3535,365009,4104997,6.2,Produto,671.23,1–2 clientes >50%,5,0.018,Nenhuma,Seed/Pré-Série A,Não reconhecida,Ocasionalmente,Alto,Claro e executado,29,Parcialmente,Sim,"Sim, regularmente",138,Experiência parcial,Às vezes,0.023,Não existem controles,43.1
4539,16430,664342,5.1,Serviço,32869.86,Receita diversificada,2,0.345,Muitas,Não,Reconhecimento forte,Ocasionalmente,Baixo,Claro e executado,69,Quase tudo,Parcialmente,Não,149,Sem experiência,Nunca,0.446,DRE e auditoria,57.42
2015,59738,8409427,6.9,Produto,43.75,3–5 clientes >50%,2,0.128,Algumas,Não,Algum reconhecimento,Não,Médio,Parcial,2,Quase tudo,Não,Não,21,Sem experiência,Às vezes,0.113,Não existem controles,40.32
4516,3786,16791647,7.3,Produto,125.49,3–5 clientes >50%,2,0.161,Algumas,Seed/Pré-Série A,Não reconhecida,Ocasionalmente,Alto,Parcial,92,Quase tudo,Parcialmente,Não,38,Sem experiência,Nunca,0.312,Não existem controles,42.98
73,9418,706502,4.3,Produto,1879.57,1–2 clientes >50%,2,0.017,Poucas,Aceleradora/Anjo,Não reconhecida,Ocasionalmente,Baixo,Não existe,2,Quase nada,Sim,Algumas,121,Sem experiência,Às vezes,0.275,Controles básicos,44.86
2694,153452,40658,9.0,Produto,2793.36,3–5 clientes >50%,1,0.272,Muitas,Aceleradora/Anjo,Não reconhecida,"Sim, forte",Baixo,Parcial,22,Quase nada,Parcialmente,Não,154,Sem experiência,Às vezes,0.391,Não existem controles,38.03
1388,227372,416446,8.4,Produto,3777.97,Receita diversificada,1,0.054,Poucas,Série A+,Não reconhecida,Ocasionalmente,Baixo,Não existe,16,Parcialmente,Sim,Não,10,Experiência parcial,Nunca,0.225,DRE e auditoria,56.73
4967,233903,4815152,9.8,Produto,71.2,Receita diversificada,1,0.228,Muitas,Série A+,Não reconhecida,"Sim, forte",Médio,Claro e executado,37,Parcialmente,Não,"Sim, regularmente",190,Sem experiência,Nunca,0.252,Não existem controles,41.19
1591,19550,915916,7.8,Serviço,475.01,Receita diversificada,4,0.099,Nenhuma,Seed/Pré-Série A,Algum reconhecimento,Ocasionalmente,Baixo,Não existe,87,Quase nada,Não,Não,29,Experiência forte,Às vezes,0.372,Controles básicos,49.96
2663,5387,143603,8.1,Serviço,584.66,Receita diversificada,2,0.391,Algumas,Seed/Pré-Série A,Não reconhecida,"Sim, forte",Alto,Parcial,73,Parcialmente,Parcialmente,"Sim, regularmente",28,Experiência parcial,Regularmente,0.49,Não existem controles,42.06
4741,1232622,12702,5.2,Serviço,1916.36,3–5 clientes >50%,1,0.215,Nenhuma,Aceleradora/Anjo,Algum reconhecimento,Ocasionalmente,Baixo,Claro e executado,70,Quase nada,Sim,Algumas,175,Sem experiência,Às vezes,0.238,DRE e auditoria,45.44
4393,5925,5817146,9.5,Serviço,611.67,1–2 clientes >50%,2,0.237,Nenhuma,Não,Não reconhecida,Ocasionalmente,Alto,Não existe,37,Parcialmente,Não,"Sim, regularmente",145,Experiência parcial,Nunca,0.365,Controles básicos,41.18
2425,6284,3902554,7.8,Serviço,49197.41,Receita diversificada,5,0.333,Nenhuma,Série A+,Não reconhecida,"Sim, forte",Baixo,Claro e executado,63,Parcialmente,Parcialmente,Não,30,Experiência parcial,Nunca,0.424,Controles básicos,41.71
3942,28127,1234581,9.8,Serviço,40648.15,3–5 clientes >50%,2,0.17,Algumas,Seed/Pré-Série A,Reconhecimento forte,Ocasionalmente,Médio,Claro e executado,48,Quase nada,Sim,Algumas,170,Experiência forte,Regularmente,0.32,Não existem controles,45.36
3095,19168,1646469,2.3,Produto,552.3,1–2 clientes >50%,3,0.131,Poucas,Série A+,Reconhecimento forte,Ocasionalmente,Baixo,Claro e executado,89,Parcialmente,Não,"Sim, regularmente",165,Experiência parcial,Nunca,0.206,Não existem controles,38.93
2176,5308,7053318,0.8,Produto,4542.73,Receita diversificada,1,0.109,Algumas,Série A+,Não reconhecida,Ocasionalmente,Médio,Não existe,42,Quase tudo,Parcialmente,Algumas,90,Experiência forte,Às vezes,0.006,Não existem controles,43.87
823,39578,1402987,7.1,Serviço,2959.33,1–2 clientes >50%,3,0.255,Muitas,Seed/Pré-Série A,Reconhecimento forte,"Sim, forte",Alto,Parcial,69,Quase nada,Parcialmente,"Sim, regularmente",116,Experiência forte,Regularmente,0.09,Controles básicos,64.99
1125,38603,4282075,8.7,Produto,21.69,3–5 clientes >50%,3,0.273,Muitas,Não,Algum reconhecimento,Não,Médio,Parcial,59,Parcialmente,Sim,"Sim, regularmente",183,Sem experiência,Às vezes,0.39,DRE e auditoria,63.39
3134,94193,1232162,9.9,Produto,1109.63,3–5 clientes >50%,4,0.05,Nenhuma,Aceleradora/Anjo,Não reconhecida,Ocasionalmente,Médio,Claro e executado,19,Quase nada,Sim,Algumas,8,Experiência parcial,Regularmente,0.444,DRE e auditoria,54.5
875,1131208,682226,3.6,Produto,54.37,3–5 clientes >50%,1,0.322,Nenhuma,Aceleradora/Anjo,Não reconhecida,"Sim, forte",Médio,Não existe,24,Parcialmente,Não,"Sim, regularmente",9,Sem experiência,Às vezes,0.359,Não existem controles,31.42
2919,693204,2192550,9.7,Serviço,17820.38,3–5 clientes >50%,3,0.336,Poucas,Aceleradora/Anjo,Reconhecimento forte,"Sim, forte",Médio,Parcial,46,Quase nada,Parcialmente,Algumas,107,Experiência parcial,Às vezes,0.425,Controles básicos,52.28
3354,18522,3920782,2.9,Produto,4373.7,3–5 clientes >50%,4,0.355,Algumas,Seed/Pré-Série A,Reconhecimento forte,Ocasionalmente,Médio,Não existe,10,Parcialmente,Não,"Sim, regularmente",95,Experiência forte,Às vezes,0.42,DRE e auditoria,55.9
458,1990827,3645570,8.8,Serviço,1034.6,1–2 clientes >50%,3,0.117,Poucas,Aceleradora/Anjo,Reconhecimento forte,"Sim, forte",Alto,Claro e executado,99,Quase tudo,Não,Algumas,28,Experiência forte,Às vezes,0.254,Controles básicos,60.3
4019,57213,913149,1.7,Serviço,154.35,1–2 clientes >50%,3,0.116,Algumas,Série A+,Não reconhecida,"Sim, forte",Médio,Não existe,25,Parcialmente,Não,"Sim, regularmente",124,Experiência parcial,Regularmente,0.127,Controles básicos,54.3
118,1477539,557316,0.4,Produto,965.24,3–5 clientes >50%,4,0.271,Nenhuma,Série A+,Reconhecimento forte,Ocasionalmente,Baixo,Parcial,100,Quase tudo,Sim,"Sim, regularmente",113,Sem experiência,Nunca,0.361,Controles básicos,47.07
2360,111441,15994570,0.4,Produto,250.49,3–5 clientes >50%,5,0.111,Algumas,Seed/Pré-Série A,Reconhecimento forte,Ocasionalmente,Médio,Parcial,33,Quase tudo,Parcialmente,Não,151,Sem experiência,Regularmente,0.155,Controles básicos,61.38
642,12357,3287044,7.2,Produto,131.71,1–2 clientes >50%,3,0.36,Algumas,Aceleradora/Anjo,Não reconhecida,Não,Alto,Claro e executado,93,Parcialmente,Sim,"Sim, regularmente",46,Sem experiência,Às vezes,0.274,Controles básicos,55.32
1489,656826,461693,4.5,Produto,99.48,1–2 clientes >50%,5,0.358,Nenhuma,Aceleradora/Anjo,Reconhecimento forte,"Sim, forte",Médio,Não existe,38,Quase tudo,Não,Não,179,Sem experiência,Às vezes,0.201,DRE e auditoria,42.84
1130,694958,123022,0.9,Serviço,1875.63,Receita diversificada,1,0.398,Nenhuma,Aceleradora/Anjo,Algum reconhecimento,Ocasionalmente,Médio,Claro e executado,36,Quase tudo,Não,Não,11,Experiência forte,Nunca,0.265,Controles básicos,41.73
4296,11632,159994,1.4,Serviço,455.9,Receita diversificada,1,0.385,Algumas,Não,Não reconhecida,Ocasionalmente,Alto,Claro e executado,6,Parcialmente,Parcialmente,Não,48,Experiência forte,Às vezes,0.164,DRE e auditoria,52.53
4095,447823,67599,7.9,Produto,199.67,3–5 clientes >50%,4,0.37,Nenhuma,Série A+,Algum reconhecimento,Ocasionalmente,Alto,Parcial,40,Parcialmente,Não,"Sim, regularmente",35,Sem experiência,Nunca,0.443,Controles básicos,40.76
183,4367,11491113,8.1,Produto,3261.81,3–5 clientes >50%,2,0.184,Algumas,Seed/Pré-Série A,Reconhecimento forte,"Sim, forte",Baixo,Claro e executado,94,Quase tudo,Sim,Não,164,Experiência forte,Nunca,0.331,Não existem controles,44.26
3757,99903,970710,5.9,Serviço,225.05,1–2 clientes >50%,3,0.116,Nenhuma,Não,Reconhecimento forte,Ocasionalmente,Médio,Claro e executado,-1,Quase nada,Parcialmente,"Sim, regularmente",86,Experiência forte,Nunca,0.096,Não existem controles,35.26
4135,79263,4940733,4.5,Serviço,1915.77,3–5 clientes >50%,5,0.054,Muitas,Não,Reconhecimento forte,Ocasionalmente,Médio,Parcial,36,Quase nada,Não,"Sim, regularmente",138,Experiência forte,Regularmente,0.402,Não existem controles,49.14
180,19088,14882487,5.2,Produto,630.47,3–5 clientes >50%,3,0.365,Algumas,Não,Reconhecimento forte,Ocasionalmente,Baixo,Parcial,9,Parcialmente,Sim,"Sim, regularmente",88,Experiência parcial,Regularmente,0.325,Controles básicos,52.84
1961,686641,913483,4.9,Serviço,353.58,Receita diversificada,4,0.343,Muitas,Série A+,Não reconhecida,Não,Baixo,Claro e executado,14,Quase tudo,Parcialmente,Não,83,Sem experiência,Regularmente,0.467,Controles básicos,58.52
3627,495736,1693685,7.4,Serviço,1582.98,3–5 clientes >50%,5,0.099,Poucas,Série A+,Algum reconhecimento,Ocasionalmente,Médio,Claro e executado,45,Parcialmente,Sim,Não,169,Experiência forte,Regularmente,0.415,Controles básicos,67.22
2611,1047747,1126915,3.5,Produto,177.14,1–2 clientes >50%,3,0.129,Poucas,Seed/Pré-Série A,Algum reconhecimento,"Sim, forte",Médio,Parcial,22,Parcialmente,Sim,Algumas,42,Sem experiência,Regularmente,0.466,DRE e auditoria,57.25
4899,61476,708830,3.0,Serviço,30323.44,1–2 clientes >50%,5,0.003,Muitas,Não,Reconhecimento forte,Ocasionalmente,Médio,Parcial,57,Quase tudo,Parcialmente,Algumas,170,Experiência forte,Nunca,0.471,DRE e auditoria,74.14
3702,1833398,3084641,6.6,Produto,60.75,1–2 clientes >50%,1,0.241,Muitas,Seed/Pré-Série A,Reconhecimento forte,Ocasionalmente,Baixo,Claro e executado,-10,Quase tudo,Parcialmente,Não,101,Experiência forte,Regularmente,0.212,DRE e auditoria,59.33
1031,77779,3587846,9.0,Serviço,467.28,Receita diversificada,1,0.121,Muitas,Seed/Pré-Série A,Não reconhecida,"Sim, forte",Médio,Não existe,-2,Quase tudo,Sim,Algumas,117,Experiência parcial,Às vezes,0.204,Controles básicos,61.29
4077,261072,258957,0.7,Serviço,1860.94,3–5 clientes >50%,4,0.261,Muitas,Aceleradora/Anjo,Algum reconhecimento,Ocasionalmente,Alto,Claro e executado,97,Quase tudo,Sim,Não,72,Experiência parcial,Às vezes,0.086,Controles básicos,66.08
2887,12753,14200815,2.4,Produto,3679.52,1–2 clientes >50%,1,0.103,Muitas,Não,Reconhecimento forte,"Sim, forte",Baixo,Não existe,-8,Parcialmente,Parcialmente,"Sim, regularmente",143,Experiência parcial,Regularmente,0.139,Controles básicos,53.75
1533,1858838,819635,2.1,Produto,1869.49,1–2 clientes >50%,1,0.214,Algumas,Aceleradora/Anjo,Não reconhecida,"Sim, forte",Baixo,Claro e executado,32,Quase nada,Sim,Não,196,Experiência forte,Nunca,0.416,Controles básicos,53.1
4496,76873,2002627,5.6,Produto,921.33,1–2 clientes >50%,3,0.029,Nenhuma,Não,Não reconhecida,"Sim, forte",Alto,Claro e executado,96,Parcialmente,Não,Não,4,Experiência forte,Regularmente,0.053,Não existem controles,42.51
3024,19813,130197,3.1,Serviço,978.72,3–5 clientes >50%,4,0.101,Poucas,Não,Não reconhecida,Ocasionalmente,Alto,Não existe,66,Parcialmente,Não,Algumas,187,Experiência forte,Regularmente,0.366,DRE e auditoria,60.14
187,76063,10357788,3.5,Serviço,4207.09,3–5 clientes >50%,2,0.372,Algumas,Seed/Pré-Série A,Algum reconhecimento,Ocasionalmente,Baixo,Claro e executado,80,Quase nada,Não,Algumas,11,Sem experiência,Regularmente,0.37,DRE e auditoria,50.86
420,1253045,496476,7.7,Produto,4253.56,3–5 clientes >50%,5,0.279,Muitas,Série A+,Algum reconhecimento,"Sim, forte",Baixo,Parcial,88,Quase nada,Não,Não,197,Experiência forte,Regularmente,0.036,Não existem controles,43.51
2581,13987,1423886,9.8,Produto,808.42,Receita diversificada,4,0.392,Muitas,Não,Reconhecimento forte,Ocasionalmente,Alto,Claro e executado,38,Quase nada,Não,"Sim, regularmente",40,Experiência parcial,Regularmente,0.152,Controles básicos,58.83
974,5680,1730942,1.4,Serviço,1856.44,3–5 clientes >50%,5,0.234,Poucas,Não,Não reconhecida,"Sim, forte",Alto,Não existe,66,Parcialmente,Não,Algumas,111,Sem experiência,Às vezes,0.22,Controles básicos,46.9
1991,1619457,6277666,4.3,Serviço,114.56,3–5 clientes >50%,3,0.141,Muitas,Aceleradora/Anjo,Algum reconhecimento,Não,Alto,Não existe,96,Parcialmente,Não,Não,180,Experiência forte,Às vezes,0.297,Controles básicos,70.95
169,1034233,3924907,6.0,Serviço,875.6,Receita diversificada,4,0.021,Nenhuma,Série A+,Algum reconhecimento,Ocasionalmente,Baixo,Parcial,45,Parcialmente,Sim,Algumas,40,Experiência parcial,Regularmente,0.079,DRE e auditoria,64.34
1507,409895,1514928,2.7,Produto,844.88,Receita diversificada,4,0.346,Nenhuma,Não,Não reconhecida,Não,Alto,Parcial,-3,Quase tudo,Sim,Algumas,188,Experiência forte,Nunca,0.305,Controles básicos,49.64
652,1933246,4644630,2.4,Produto,3833.32,1–2 clientes >50%,3,0.051,Nenhuma,Série A+,Reconhecimento forte,Ocasionalmente,Baixo,Não existe,15,Quase tudo,Parcialmente,Não,47,Sem experiência,Nunca,0.339,Não existem controles,36.74
1065,52990,62769,3.8,Produto,94.81,Receita diversificada,3,0.056,Nenhuma,Série A+,Algum reconhecimento,Ocasionalmente,Médio,Parcial,11,Quase tudo,Sim,Não,199,Experiência forte,Regularmente,0.101,DRE e auditoria,59.1
1990,11943,31018,8.1,Serviço,869.0,1–2 clientes >50%,4,0.049,Nenhuma,Série A+,Reconhecimento forte,Não,Baixo,Parcial,98,Quase tudo,Sim,Algumas,98,Sem experiência,Nunca,0.314,DRE e auditoria,53.36
1721,64755,2111150,6.5,Serviço,1937.0,3–5 clientes >50%,4,0.207,Poucas,Série A+,Reconhecimento forte,Ocasionalmente,Alto,Claro e executado,21,Quase nada,Não,Algumas,144,Experiência parcial,Regularmente,0.199,DRE e auditoria,50.56
3294,87005,188433,8.6,Produto,4375.49,1–2 clientes >50%,3,0.221,Nenhuma,Seed/Pré-Série A,Algum reconhecimento,Ocasionalmente,Alto,Não existe,33,Parcialmente,Sim,"Sim, regularmente",42,Experiência parcial,Nunca,0.117,DRE e auditoria,47.62
2715,1858862,983884,1.1,Produto,47.07,3–5 clientes >50%,5,0.251,Poucas,Seed/Pré-Série A,Reconhecimento forte,"Sim, forte",Baixo,Não existe,9,Quase nada,Não,Algumas,28,Experiência parcial,Regularmente,0.307,Não existem controles,35.91
3095,460254,58478,7.2,Serviço,18549.96,Receita diversificada,2,0.103,Algumas,Série A+,Algum reconhecimento,"Sim, forte",Alto,Claro e executado,92,Quase nada,Sim,"Sim, regularmente",134,Sem experiência,Regularmente,0.311,Controles básicos,64.61
1493,427351,882333,6.5,Produto,471.94,Receita diversificada,2,0.355,Muitas,Não,Algum reconhecimento,"Sim, forte",Alto,Claro e executado,21,Quase tudo,Não,"Sim, regularmente",62,Sem experiência,Regularmente,0.389,DRE e auditoria,60.96
2615,475299,16275178,8.3,Produto,478.64,3–5 clientes >50%,4,0.201,Poucas,Aceleradora/Anjo,Reconhecimento forte,Ocasionalmente,Baixo,Claro e executado,54,Quase nada,Parcialmente,"Sim, regularmente",55,Experiência forte,Regularmente,0.133,Não existem controles,41.48
2289,94344,4094318,8.0,Produto,162.51,3–5 clientes >50%,5,0.32,Nenhuma,Não,Reconhecimento forte,"Sim, forte",Baixo,Claro e executado,18,Quase tudo,Sim,Não,90,Sem experiência,Às vezes,0.062,Não existem controles,34.27
2679,1628295,10518620,4.4,Serviço,6658.35,1–2 clientes >50%,4,0.146,Nenhuma,Seed/Pré-Série A,Algum reconhecimento,"Sim, forte",Alto,Não existe,29,Parcialmente,Parcialmente,Algumas,51,Experiência parcial,Nunca,0.343,Controles básicos,50.28
2038,351398,3488036,9.4,Serviço,3503.71,Receita diversificada,3,0.363,Nenhuma,Não,Não reconhecida,Não,Médio,Parcial,34,Quase tudo,Parcialmente,"Sim, regularmente",6,Experiência forte,Às vezes,0.149,DRE e auditoria,55.39
2867,17557,937824,8.6,Produto,4189.28,3–5 clientes >50%,3,0.387,Poucas,Aceleradora/Anjo,Algum reconhecimento,Ocasionalmente,Alto,Não existe,76,Quase nada,Parcialmente,Algumas,187,Sem experiência,Nunca,0.225,Controles básicos,47.67
2642,309447,508437,9.9,Produto,3362.4,Receita diversificada,3,0.284,Muitas,Série A+,Algum reconhecimento,"Sim, forte",Baixo,Parcial,77,Parcialmente,Sim,"Sim, regularmente",188,Experiência forte,Às vezes,0.139,Não existem controles,47.97
3662,7408,2868559,2.2,Serviço,1125.86,Receita diversificada,1,0.034,Algumas,Seed/Pré-Série A,Algum reconhecimento,Não,Baixo,Parcial,71,Quase nada,Parcialmente,"Sim, regularmente",195,Experiência parcial,Regularmente,0.31,DRE e auditoria,66.4
2897,46996,40148,7.1,Produto,909.68,Receita diversificada,2,0.037,Nenhuma,Não,Algum reconhecimento,Ocasionalmente,Baixo,Parcial,60,Quase nada,Sim,Algumas,129,Sem experiência,Às vezes,0.459,Controles básicos,52.67
979,3266,153051,4.5,Serviço,7721.83,Receita diversificada,1,0.261,Poucas,Aceleradora/Anjo,Não reconhecida,"Sim, forte",Alto,Parcial,21,Quase tudo,Não,Não,72,Sem experiência,Nunca,0.307,DRE e auditoria,41.78
4299,846950,646477,2.6,Produto,1624.17,1–2 clientes >50%,2,0.073,Algumas,Aceleradora/Anjo,Não reconhecida,Ocasionalmente,Alto,Claro e executado,80,Quase tudo,Não,"Sim, regularmente",43,Sem experiência,Às vezes,0.336,Não existem controles,45.25
1773,66989,549641,1.0,Produto,232.15,1–2 clientes >50%,4,0.159,Muitas,Não,Não reconhecida,Ocasionalmente,Baixo,Claro e executado,66,Quase nada,Parcialmente,Não,104,Experiência forte,Regularmente,0.136,Controles básicos,63.02
4723,7847,3773350,8.2,Serviço,243.1,1–2 clientes >50%,2,0.063,Nenhuma,Seed/Pré-Série A,Reconhecimento forte,Ocasionalmente,Médio,Não existe,47,Quase nada,Parcialmente,Algumas,140,Experiência forte,Regularmente,0.327,Controles básicos,50.17
3233,1614099,471810,3.1,Produto,2790.1,3–5 clientes >50%,5,0.192,Algumas,Série A+,Reconhecimento forte,Ocasionalmente,Baixo,Não existe,-5,Quase tudo,Parcialmente,"Sim, regularmente",161,Experiência forte,Regularmente,0.207,Controles básicos,62.9
2243,178699,652266,6.2,Produto,73.71,1–2 clientes >50%,5,0.184,Poucas,Série A+,Não reconhecida,"Sim, forte",Alto,Parcial,69,Parcialmente,Não,"Sim, regularmente",65,Experiência parcial,Às vezes,0.269,Não existem controles,41.78
3956,585205,2585460,2.3,Serviço,1781.95,3–5 clientes >50%,3,0.306,Nenhuma,Aceleradora/Anjo,Não reconhecida,Não,Alto,Claro e executado,59,Quase tudo,Não,"Sim, regularmente",179,Sem experiência,Regularmente,0.154,DRE e auditoria,50.36
2524,48258,437199,2.8,Produto,24.19,3–5 clientes >50%,5,0.112,Poucas,Não,Não reconhecida,Ocasionalmente,Baixo,Claro e executado,67,Parcialmente,Sim,Não,47,Experiência parcial,Às vezes,0.326,Não existem controles,41.24
64,709792,804254,7.4,Serviço,5515.45,Receita diversificada,5,0.289,Muitas,Aceleradora/Anjo,Reconhecimento forte,"Sim, forte",Baixo,Não existe,71,Parcialmente,Parcialmente,"Sim, regularmente",4,Experiência parcial,Às vezes,0.288,DRE e auditoria,62.51
3055,163859,865034,1.8,Produto,995.3,1–2 clientes >50%,2,0.123,Algumas,Seed/Pré-Série A,Algum reconhecimento,Não,Baixo,Não existe,88,Quase nada,Não,Não,103,Experiência parcial,Nunca,0.041,Não existem controles,39.17
1428,372251,6353481,2.2,Produto,149.25,1–2 clientes >50%,4,0.11,Nenhuma,Seed/Pré-Série A,Não reconhecida,"Sim, forte",Alto,Claro e executado,4,Parcialmente,Não,"Sim, regularmente",126,Experiência parcial,Regularmente,0.062,Não existem controles,37.88
2640,657359,16947,2.6,Serviço,773.48,3–5 clientes >50%,1,0.019,Nenhuma,Aceleradora/Anjo,Reconhecimento forte,Ocasionalmente,Médio,Parcial,59,Quase nada,Parcialmente,Não,178,Experiência forte,Nunca,0.374,DRE e auditoria,57.18
2281,54513,1512538,1.6,Produto,368.68,1–2 clientes >50%,3,0.084,Algumas,Seed/Pré-Série A,Não reconhecida,Não,Alto,Claro e executado,95,Quase tudo,Sim,Não,25,Experiência parcial,Regularmente,0.231,Não existem controles,47.66
670,3244,10826613,5.0,Serviço,316.4,1–2 clientes >50%,5,0.033,Nenhuma,Aceleradora/Anjo,Algum reconhecimento,Ocasionalmente,Baixo,Não existe,-10,Parcialmente,Parcialmente,"Sim, regularmente",185,Experiência forte,Às vezes,0.219,Não existem controles,37.62
